id,image_path,selected_model,other_model,timestamp
21,4782c.jpg,gpt-4o-2024-08-06,claude-3-5-sonnet-20241022,2024-11-01 04:29:49.990842
22,4782c.jpg,claude-3-5-sonnet-20241022,allenai/Molmo-72B-0924,2024-11-01 04:30:16.262219
23,4911d.jpg,Qwen/Qwen2-VL-72B-Instruct,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 04:30:29.627209
24,3191i.jpg,llama-v3p2-90b-vision-instruct,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 04:32:21.683603
25,2078i.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 04:32:40.972671
26,17l.jpg,gpt-4o-2024-08-06,llama-v3p2-90b-vision-instruct,2024-11-01 04:33:24.675796
27,2077q.jpg,claude-3-5-sonnet-20241022,gemini-1.5-pro,2024-11-01 11:06:44.999289
28,2085b.jpg,gpt-4o-2024-08-06,claude-3-5-sonnet-20241022,2024-11-01 11:08:31.792752
29,284v.jpg,Qwen/Qwen2-VL-72B-Instruct,llama-v3p2-90b-vision-instruct,2024-11-01 11:10:16.719681
30,3192h.jpg,gemini-1.5-pro,rhymes-ai/Aria,2024-11-01 11:13:03.903034
31,5207j.jpg,gpt-4o-2024-08-06,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 11:15:44.597686
32,4792b.jpg,OpenGVLab/InternVL2-Llama3-76B,llama-v3p2-90b-vision-instruct,2024-11-01 11:17:25.320531
33,904x.jpg,gpt-4o-2024-08-06,gemini-1.5-pro,2024-11-01 11:18:46.946091
34,17l.jpg,Qwen/Qwen2-VL-72B-Instruct,nvidia/NVLM-D-72B,2024-11-01 11:20:08.670905
35,4792b.jpg,rhymes-ai/Aria,allenai/Molmo-72B-0924,2024-11-01 11:20:49.96553
36,17l.jpg,gpt-4o-2024-08-06,nvidia/NVLM-D-72B,2024-11-01 11:21:19.812801
37,4793a.jpg,allenai/Molmo-72B-0924,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 11:23:08.604264
38,2077q.jpg,claude-3-5-sonnet-20241022,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 11:23:54.292356
39,4912gg.jpg,OpenGVLab/InternVL2-Llama3-76B,gemini-1.5-pro,2024-11-01 11:25:20.929284
40,4793a.jpg,allenai/Molmo-72B-0924,claude-3-5-sonnet-20241022,2024-11-01 11:26:06.730569
41,5301p.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 11:26:40.817575
42,287g.jpg,allenai/Molmo-72B-0924,llama-v3p2-90b-vision-instruct,2024-11-01 11:27:47.906934
43,4785a.jpg,rhymes-ai/Aria,llama-v3p2-90b-vision-instruct,2024-11-01 11:28:26.112187
44,4785a.jpg,allenai/Molmo-72B-0924,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 11:28:57.464501
45,5521n.jpg,Qwen/Qwen2-VL-72B-Instruct,rhymes-ai/Aria,2024-11-01 11:30:04.112672
46,3191i.jpg,gpt-4o-2024-08-06,llama-v3p2-90b-vision-instruct,2024-11-01 11:31:15.107882
47,4793a.jpg,rhymes-ai/Aria,llama-v3p2-90b-vision-instruct,2024-11-01 11:32:07.682147
48,4912gg.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 11:32:42.540899
49,4781r.jpg,Qwen/Qwen2-VL-72B-Instruct,rhymes-ai/Aria,2024-11-01 15:30:43.976383
50,3189j.jpg,claude-3-5-sonnet-20241022,nvidia/NVLM-D-72B,2024-11-01 15:31:35.834092
51,2086d.jpg,Qwen/Qwen2-VL-72B-Instruct,allenai/Molmo-72B-0924,2024-11-01 15:32:37.379797
52,4788oo.jpg,gemini-1.5-pro,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 15:33:29.051463
53,2078i.jpg,OpenGVLab/InternVL2-Llama3-76B,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 15:34:12.535267
54,5521n.jpg,gpt-4o-2024-08-06,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 15:35:22.819461
55,4781r.jpg,Qwen/Qwen2-VL-72B-Instruct,llama-v3p2-90b-vision-instruct,2024-11-01 15:35:47.658072
56,5301p.jpg,allenai/Molmo-72B-0924,llama-v3p2-90b-vision-instruct,2024-11-01 15:36:34.793681
57,5301p.jpg,Qwen/Qwen2-VL-72B-Instruct,gpt-4o-2024-08-06,2024-11-01 15:36:37.004585
58,4911d.jpg,nvidia/NVLM-D-72B,gpt-4o-2024-08-06,2024-11-01 15:37:41.810461
59,4786a.jpg,allenai/Molmo-72B-0924,gemini-1.5-pro,2024-11-01 15:38:26.618255
60,4912gg.jpg,nvidia/NVLM-D-72B,rhymes-ai/Aria,2024-11-01 15:39:02.333093
61,2078i.jpg,claude-3-5-sonnet-20241022,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 15:39:21.822962
62,1007p.jpg,allenai/Molmo-72B-0924,llama-v3p2-90b-vision-instruct,2024-11-01 15:40:14.94331
63,3191i.jpg,nvidia/NVLM-D-72B,llama-v3p2-90b-vision-instruct,2024-11-01 15:40:33.703445
64,2085b.jpg,llama-v3p2-90b-vision-instruct,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 15:41:21.903443
65,4792b.jpg,gpt-4o-2024-08-06,llama-v3p2-90b-vision-instruct,2024-11-01 15:41:41.397495
66,304h.jpg,claude-3-5-sonnet-20241022,llama-v3p2-90b-vision-instruct,2024-11-01 15:42:13.298074
67,4793a.jpg,OpenGVLab/InternVL2-Llama3-76B,rhymes-ai/Aria,2024-11-01 15:42:43.89571
68,3191i.jpg,claude-3-5-sonnet-20241022,llama-v3p2-90b-vision-instruct,2024-11-01 15:47:28.916368
69,5301p.jpg,allenai/Molmo-72B-0924,claude-3-5-sonnet-20241022,2024-11-01 15:47:57.224995
70,5207j.jpg,llama-v3p2-90b-vision-instruct,rhymes-ai/Aria,2024-11-01 15:48:19.133588
71,2073cc.jpg,gemini-1.5-pro,nvidia/NVLM-D-72B,2024-11-01 15:48:40.213442
72,286t.jpg,gpt-4o-2024-08-06,llama-v3p2-90b-vision-instruct,2024-11-01 15:49:28.968744
73,2085b.jpg,allenai/Molmo-72B-0924,claude-3-5-sonnet-20241022,2024-11-01 15:49:36.307771
74,4782c.jpg,gemini-1.5-pro,llama-v3p2-90b-vision-instruct,2024-11-01 15:50:02.401734
75,4788oo.jpg,gemini-1.5-pro,rhymes-ai/Aria,2024-11-01 15:50:38.965123
76,4788oo.jpg,allenai/Molmo-72B-0924,nvidia/NVLM-D-72B,2024-11-01 15:50:54.186534
77,3191i.jpg,Qwen/Qwen2-VL-72B-Instruct,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 15:51:14.968529
78,284v.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,allenai/Molmo-72B-0924,2024-11-01 15:51:55.999171
79,1007p.jpg,gpt-4o-2024-08-06,llama-v3p2-90b-vision-instruct,2024-11-01 15:52:19.627291
162,304h.jpg,gemini-1.5-pro,nvidia/NVLM-D-72B,2024-11-04 01:43:15.839968
80,5301p.jpg,llama-v3p2-90b-vision-instruct,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 15:52:35.689844
81,2077q.jpg,gemini-1.5-pro,claude-3-5-sonnet-20241022,2024-11-01 15:52:57.638465
82,5207j.jpg,gemini-1.5-pro,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 15:53:37.211557
83,4781r.jpg,OpenGVLab/InternVL2-Llama3-76B,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 15:54:21.972525
84,3192h.jpg,nvidia/NVLM-D-72B,rhymes-ai/Aria,2024-11-01 15:55:00.832993
85,3192h.jpg,nvidia/NVLM-D-72B,rhymes-ai/Aria,2024-11-01 15:55:00.90151
86,948d.jpg,OpenGVLab/InternVL2-Llama3-76B,gemini-1.5-pro,2024-11-01 15:56:06.308282
87,304h.jpg,gemini-1.5-pro,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 15:56:29.683305
88,4793a.jpg,Qwen/Qwen2-VL-72B-Instruct,llama-v3p2-90b-vision-instruct,2024-11-01 15:56:50.120568
89,4781r.jpg,claude-3-5-sonnet-20241022,nvidia/NVLM-D-72B,2024-11-01 15:57:02.254078
90,3191i.jpg,Qwen/Qwen2-VL-72B-Instruct,allenai/Molmo-72B-0924,2024-11-01 15:57:39.630872
91,3193c.jpg,allenai/Molmo-72B-0924,nvidia/NVLM-D-72B,2024-11-01 15:58:10.796776
92,904x.jpg,OpenGVLab/InternVL2-Llama3-76B,rhymes-ai/Aria,2024-11-01 15:58:37.133562
93,5301p.jpg,Qwen/Qwen2-VL-72B-Instruct,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 15:59:02.610014
94,3193c.jpg,OpenGVLab/InternVL2-Llama3-76B,gpt-4o-2024-08-06,2024-11-01 15:59:35.031289
95,4788oo.jpg,gpt-4o-2024-08-06,llama-v3p2-90b-vision-instruct,2024-11-01 16:00:03.204416
96,287g.jpg,gemini-1.5-pro,llama-v3p2-90b-vision-instruct,2024-11-01 16:00:41.137721
97,17l.jpg,allenai/Molmo-72B-0924,claude-3-5-sonnet-20241022,2024-11-01 16:01:25.438391
98,2086d.jpg,OpenGVLab/InternVL2-Llama3-76B,claude-3-5-sonnet-20241022,2024-11-01 16:01:52.088084
99,2085b.jpg,gemini-1.5-pro,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 16:02:17.55613
100,4786a.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,rhymes-ai/Aria,2024-11-01 16:49:01.008702
101,2085b.jpg,gpt-4o-2024-08-06,allenai/Molmo-72B-0924,2024-11-01 16:49:24.320325
102,304h.jpg,nvidia/NVLM-D-72B,rhymes-ai/Aria,2024-11-01 16:49:59.328804
103,3193c.jpg,gemini-1.5-pro,gpt-4o-2024-08-06,2024-11-01 18:28:55.240411
104,4786a.jpg,gpt-4o-2024-08-06,gemini-1.5-pro,2024-11-01 18:29:17.973123
105,2073cc.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-01 18:29:52.627508
106,2077q.jpg,Qwen/Qwen2-VL-72B-Instruct,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 18:30:40.750396
107,4912gg.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 18:30:57.951881
108,4911d.jpg,OpenGVLab/InternVL2-Llama3-76B,nvidia/NVLM-D-72B,2024-11-01 18:32:15.293258
109,3189j.jpg,OpenGVLab/InternVL2-Llama3-76B,nvidia/NVLM-D-72B,2024-11-01 18:32:38.488601
110,2077q.jpg,allenai/Molmo-72B-0924,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 18:32:52.872123
111,2078i.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-01 18:33:11.497153
112,4793a.jpg,rhymes-ai/Aria,nvidia/NVLM-D-72B,2024-11-01 18:33:28.997095
113,4786a.jpg,allenai/Molmo-72B-0924,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 18:34:02.847936
114,4911d.jpg,rhymes-ai/Aria,allenai/Molmo-72B-0924,2024-11-01 18:34:29.240448
115,904x.jpg,gpt-4o-2024-08-06,rhymes-ai/Aria,2024-11-01 18:35:01.657637
116,4911d.jpg,rhymes-ai/Aria,claude-3-5-sonnet-20241022,2024-11-01 18:35:33.920528
117,5521n.jpg,allenai/Molmo-72B-0924,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 18:35:50.100315
118,1007p.jpg,rhymes-ai/Aria,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 18:36:47.604821
119,3191i.jpg,rhymes-ai/Aria,allenai/Molmo-72B-0924,2024-11-01 18:36:54.82199
120,948d.jpg,Qwen/Qwen2-VL-72B-Instruct,rhymes-ai/Aria,2024-11-01 18:37:44.919113
121,5207j.jpg,nvidia/NVLM-D-72B,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 18:38:28.377339
122,286t.jpg,claude-3-5-sonnet-20241022,nvidia/NVLM-D-72B,2024-11-01 18:39:08.760404
123,286t.jpg,allenai/Molmo-72B-0924,gemini-1.5-pro,2024-11-01 18:39:28.234704
124,5521n.jpg,llama-v3p2-90b-vision-instruct,nvidia/NVLM-D-72B,2024-11-01 18:40:07.660842
125,17l.jpg,llama-v3p2-90b-vision-instruct,claude-3-5-sonnet-20241022,2024-11-01 18:41:16.103581
126,5301p.jpg,allenai/Molmo-72B-0924,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 18:41:29.43966
127,5301p.jpg,llama-v3p2-90b-vision-instruct,gpt-4o-2024-08-06,2024-11-01 18:41:55.359944
128,2086d.jpg,allenai/Molmo-72B-0924,claude-3-5-sonnet-20241022,2024-11-01 18:42:09.373948
129,4782c.jpg,gemini-1.5-pro,allenai/Molmo-72B-0924,2024-11-01 23:13:36.997852
130,2086d.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,llama-v3p2-90b-vision-instruct,2024-11-01 23:13:58.707477
131,904x.jpg,Qwen/Qwen2-VL-72B-Instruct,rhymes-ai/Aria,2024-11-01 23:14:29.866011
132,948d.jpg,gpt-4o-2024-08-06,claude-3-5-sonnet-20241022,2024-11-01 23:15:30.421424
133,284v.jpg,gpt-4o-2024-08-06,rhymes-ai/Aria,2024-11-01 23:16:08.046153
134,3189j.jpg,Qwen/Qwen2-VL-72B-Instruct,claude-3-5-sonnet-20241022,2024-11-01 23:16:59.715168
135,4786a.jpg,rhymes-ai/Aria,gemini-1.5-pro,2024-11-01 23:17:32.565441
136,4786a.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,llama-v3p2-90b-vision-instruct,2024-11-01 23:18:17.951643
137,4781r.jpg,rhymes-ai/Aria,nvidia/NVLM-D-72B,2024-11-01 23:18:55.036014
138,3191i.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,gpt-4o-2024-08-06,2024-11-01 23:19:00.911919
139,4786a.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-01 23:19:32.958064
140,2085b.jpg,allenai/Molmo-72B-0924,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 23:20:15.225199
141,2077q.jpg,allenai/Molmo-72B-0924,llama-v3p2-90b-vision-instruct,2024-11-01 23:20:52.520227
142,4788oo.jpg,allenai/Molmo-72B-0924,gemini-1.5-pro,2024-11-01 23:21:28.898378
143,4783v.jpg,Qwen/Qwen2-VL-72B-Instruct,allenai/Molmo-72B-0924,2024-11-02 13:00:23.411531
144,4781r.jpg,gpt-4o-2024-08-06,rhymes-ai/Aria,2024-11-02 13:00:47.376553
145,2085b.jpg,gpt-4o-2024-08-06,Qwen/Qwen2-VL-72B-Instruct,2024-11-02 13:01:12.328616
146,4786a.jpg,Qwen/Qwen2-VL-72B-Instruct,OpenGVLab/InternVL2-Llama3-76B,2024-11-02 13:02:16.476224
147,5521n.jpg,allenai/Molmo-72B-0924,llama-v3p2-90b-vision-instruct,2024-11-02 13:03:24.19353
148,1007p.jpg,claude-3-5-sonnet-20241022,allenai/Molmo-72B-0924,2024-11-02 13:04:22.288274
149,4911d.jpg,gemini-1.5-pro,OpenGVLab/InternVL2-Llama3-76B,2024-11-02 13:04:30.896682
150,2073cc.jpg,Qwen/Qwen2-VL-72B-Instruct,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-02 16:30:17.584604
151,3191i.jpg,rhymes-ai/Aria,gemini-1.5-pro,2024-11-02 16:31:08.729988
152,3193c.jpg,llama-v3p2-90b-vision-instruct,rhymes-ai/Aria,2024-11-02 16:31:54.889676
153,286t.jpg,OpenGVLab/InternVL2-Llama3-76B,nvidia/NVLM-D-72B,2024-11-02 16:32:50.777193
154,4781r.jpg,allenai/Molmo-72B-0924,rhymes-ai/Aria,2024-11-02 16:33:33.042412
155,2086d.jpg,Qwen/Qwen2-VL-72B-Instruct,claude-3-5-sonnet-20241022,2024-11-02 16:33:56.719738
156,3192h.jpg,gpt-4o-2024-08-06,gemini-1.5-pro,2024-11-04 01:30:19.619651
157,3193c.jpg,claude-3-5-sonnet-20241022,gpt-4o-2024-08-06,2024-11-04 01:31:28.566977
158,4786a.jpg,Qwen/Qwen2-VL-72B-Instruct,nvidia/NVLM-D-72B,2024-11-04 01:34:55.537848
159,3192h.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,claude-3-5-sonnet-20241022,2024-11-04 01:40:28.354532
160,5521n.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 01:41:18.288499
161,4912gg.jpg,nvidia/NVLM-D-72B,rhymes-ai/Aria,2024-11-04 01:41:47.523232
163,286t.jpg,nvidia/NVLM-D-72B,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 01:53:30.020306
164,4781r.jpg,allenai/Molmo-72B-0924,llama-v3p2-90b-vision-instruct,2024-11-04 01:53:53.839101
165,948d.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,gemini-1.5-pro,2024-11-04 01:58:34.69378
166,4792b.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-04 02:00:50.99062
167,4782c.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-04 02:01:38.061619
168,4788oo.jpg,OpenGVLab/InternVL2-Llama3-76B,nvidia/NVLM-D-72B,2024-11-04 02:07:50.807586
169,4912gg.jpg,nvidia/NVLM-D-72B,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 02:08:05.241517
170,3191i.jpg,allenai/Molmo-72B-0924,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 02:14:59.107576
171,1007p.jpg,gemini-1.5-pro,gpt-4o-2024-08-06,2024-11-04 02:17:33.703639
172,5207j.jpg,OpenGVLab/InternVL2-Llama3-76B,Qwen/Qwen2-VL-72B-Instruct,2024-11-04 02:21:34.323258
173,2086d.jpg,gpt-4o-2024-08-06,nvidia/NVLM-D-72B,2024-11-04 02:37:55.134924
174,4793a.jpg,rhymes-ai/Aria,Qwen/Qwen2-VL-72B-Instruct,2024-11-04 02:43:26.858579
175,4912gg.jpg,Qwen/Qwen2-VL-72B-Instruct,rhymes-ai/Aria,2024-11-04 02:43:41.28578
176,4792b.jpg,rhymes-ai/Aria,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 03:20:20.111982
177,287g.jpg,gemini-1.5-pro,rhymes-ai/Aria,2024-11-04 03:20:34.356042
178,286t.jpg,Qwen/Qwen2-VL-72B-Instruct,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 03:21:45.943718
179,284v.jpg,claude-3-5-sonnet-20241022,Qwen/Qwen2-VL-72B-Instruct,2024-11-04 03:22:17.317529
180,4781r.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,llama-v3p2-90b-vision-instruct,2024-11-04 03:22:30.059371
181,4792b.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 03:23:04.558698
182,3193c.jpg,nvidia/NVLM-D-72B,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 03:34:02.576631
183,4785a.jpg,claude-3-5-sonnet-20241022,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 03:34:27.89338
184,3189j.jpg,gpt-4o-2024-08-06,Qwen/Qwen2-VL-72B-Instruct,2024-11-04 03:34:57.985668
185,4792b.jpg,OpenGVLab/InternVL2-Llama3-76B,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 03:35:18.99582
186,4911d.jpg,Qwen/Qwen2-VL-72B-Instruct,rhymes-ai/Aria,2024-11-04 03:39:09.239595
187,4783v.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-04 03:42:39.490454
188,1007p.jpg,claude-3-5-sonnet-20241022,llama-v3p2-90b-vision-instruct,2024-11-04 03:46:45.634718
189,3193c.jpg,nvidia/NVLM-D-72B,allenai/Molmo-72B-0924,2024-11-04 03:48:01.635851
190,4782c.jpg,nvidia/NVLM-D-72B,rhymes-ai/Aria,2024-11-04 03:49:44.509362
191,5301p.jpg,nvidia/NVLM-D-72B,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 03:52:48.210446
192,904x.jpg,llama-v3p2-90b-vision-instruct,rhymes-ai/Aria,2024-11-04 03:59:42.655731
193,2085b.jpg,allenai/Molmo-72B-0924,rhymes-ai/Aria,2024-11-04 04:00:11.101644
194,5521n.jpg,allenai/Molmo-72B-0924,nvidia/NVLM-D-72B,2024-11-04 04:00:47.186144
195,4781r.jpg,claude-3-5-sonnet-20241022,llama-v3p2-90b-vision-instruct,2024-11-04 04:01:11.003724
196,17l.jpg,gpt-4o-2024-08-06,claude-3-5-sonnet-20241022,2024-11-04 04:01:26.40814
197,3192h.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,nvidia/NVLM-D-72B,2024-11-04 04:01:53.497682
198,17l.jpg,Qwen/Qwen2-VL-72B-Instruct,rhymes-ai/Aria,2024-11-04 04:02:21.223701
199,4793a.jpg,allenai/Molmo-72B-0924,llama-v3p2-90b-vision-instruct,2024-11-04 04:02:37.332835
200,5521n.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,nvidia/NVLM-D-72B,2024-11-04 04:02:49.434205
201,2077q.jpg,claude-3-5-sonnet-20241022,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 04:02:59.079884
202,4782c.jpg,gemini-1.5-pro,gpt-4o-2024-08-06,2024-11-04 04:03:19.711925
203,4781r.jpg,gpt-4o-2024-08-06,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 04:03:52.170373
204,3193c.jpg,gemini-1.5-pro,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 04:07:19.023924
205,4783v.jpg,llama-v3p2-90b-vision-instruct,allenai/Molmo-72B-0924,2024-11-04 14:58:57.575082
206,1007p.jpg,gpt-4o-2024-08-06,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 14:59:05.898136
207,4792b.jpg,gemini-1.5-pro,Qwen/Qwen2-VL-72B-Instruct,2024-11-04 15:00:47.867924
208,5521n.jpg,gemini-1.5-pro,claude-3-5-sonnet-20241022,2024-11-04 15:00:48.042031
209,3193c.jpg,Qwen/Qwen2-VL-72B-Instruct,gpt-4o-2024-08-06,2024-11-04 15:01:02.733669
210,4783v.jpg,nvidia/NVLM-D-72B,llama-v3p2-90b-vision-instruct,2024-11-04 15:01:18.96439
211,2073cc.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 20:04:30.927379
212,3191i.jpg,Qwen/Qwen2-VL-72B-Instruct,claude-3-5-sonnet-20241022,2024-11-04 20:06:36.001462
213,5301p.jpg,Qwen/Qwen2-VL-72B-Instruct,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 20:07:03.345572
214,3191i.jpg,OpenGVLab/InternVL2-Llama3-76B,allenai/Molmo-72B-0924,2024-11-04 20:08:16.686479
215,4783v.jpg,llama-v3p2-90b-vision-instruct,gemini-1.5-pro,2024-11-04 20:36:13.258939
216,4793a.jpg,gemini-1.5-pro,nvidia/NVLM-D-72B,2024-11-04 20:36:52.805924
217,904x.jpg,claude-3-5-sonnet-20241022,gpt-4o-2024-08-06,2024-11-04 20:40:18.507946
218,948d.jpg,llama-v3p2-90b-vision-instruct,claude-3-5-sonnet-20241022,2024-11-04 20:43:37.026751
219,4783v.jpg,allenai/Molmo-72B-0924,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 20:44:17.136756
220,2085b.jpg,allenai/Molmo-72B-0924,nvidia/NVLM-D-72B,2024-11-04 20:45:11.771979
221,4786a.jpg,OpenGVLab/InternVL2-Llama3-76B,gemini-1.5-pro,2024-11-04 20:46:08.845485
222,904x.jpg,OpenGVLab/InternVL2-Llama3-76B,gemini-1.5-pro,2024-11-04 20:47:14.192053
223,3189j.jpg,gpt-4o-2024-08-06,allenai/Molmo-72B-0924,2024-11-04 20:47:56.370782
224,3193c.jpg,llama-v3p2-90b-vision-instruct,OpenGVLab/InternVL2-Llama3-76B,2024-11-04 20:55:54.140172
225,4786a.jpg,lmms-lab/llava-onevision-qwen2-72b-ov,llama-v3p2-90b-vision-instruct,2024-11-04 21:04:23.171228
226,304h.jpg,gemini-1.5-pro,claude-3-5-sonnet-20241022,2024-11-04 21:07:08.204284
227,2077q.jpg,allenai/Molmo-72B-0924,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-04 21:07:38.867941
228,5207j.jpg,gpt-4o-2024-08-06,nvidia/NVLM-D-72B,2024-11-04 21:08:58.886522
229,4785a.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-04 21:14:07.77264
230,904x.jpg,claude-3-5-sonnet-20241022,nvidia/NVLM-D-72B,2024-11-04 21:14:23.009036
231,2073cc.jpg,llama-v3p2-90b-vision-instruct,rhymes-ai/Aria,2024-11-04 21:19:13.174569
232,948d.jpg,gemini-1.5-pro,gpt-4o-2024-08-06,2024-11-04 21:19:30.837533
233,304h.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-04 21:20:49.234077
234,2086d.jpg,gpt-4o-2024-08-06,allenai/Molmo-72B-0924,2024-11-04 21:21:11.139302
